time,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0.197500000,-1.168453606,-0.129602870,-0.632715495,0.001930933,-0.051862154,-0.164920202,0.002362719,0.926008218,0.377454049,0.005624840
0.200000000,0.322547537,0.042675367,-0.011364145,0.001907922,-0.045183163,-0.155666381,0.002373599,0.926052932,0.377343872,0.005651171
0.202500000,1.819746991,0.214874832,0.609892350,0.002064152,-0.056800876,-0.173012581,0.002385394,0.926098834,0.377230699,0.005679789
0.205000000,2.502303740,0.342309169,0.876505214,0.001710526,-0.080298956,-0.156355912,0.002405433,0.926145479,0.377115305,0.005728253
0.207500000,1.955581904,0.386423779,0.609209433,0.001629417,-0.102845936,-0.159918300,0.002437339,0.926184981,0.377016901,0.005804924
0.210000000,0.588692139,0.338962614,-0.014737943,0.001526182,-0.111801938,-0.151551371,0.002476639,0.926226036,0.376914304,0.005899454
0.212500000,-0.778968864,0.205827599,-0.639487954,0.001638998,-0.100728523,-0.146423997,0.002515196,0.926258838,0.376831972,0.005991911
0.215000000,-1.331508157,0.027219603,-0.909012637,0.002079851,-0.076089053,-0.158184149,0.002544682,0.926296099,0.376739039,0.006062871
0.217500000,-0.659573265,-0.145477501,-0.643211787,0.002281260,-0.050617707,-0.152636912,0.002560786,0.926331391,0.376651517,0.006101685
0.220000000,0.825344295,-0.260460125,-0.020148115,0.002801826,-0.037143425,-0.180432619,0.002567029,0.926372685,0.376549650,0.006117140
0.222500000,2.300016845,-0.274213431,0.602924001,0.002746672,-0.042114900,-0.177716686,0.002570756,0.926419367,0.376434603,0.006126811
0.225000000,2.945946179,-0.183503911,0.870382078,0.002960783,-0.059368543,-0.203222145,0.002579677,0.926468948,0.376312134,0.006149080
0.227500000,2.350207254,-0.006136986,0.603267453,0.002833453,-0.076305725,-0.201969040,0.002597251,0.926526343,0.376169965,0.006192483
0.230000000,0.922591548,0.203002074,-0.020948405,0.002933467,-0.080443563,-0.207841755,0.002619857,0.926580289,0.376035994,0.006247829
0.232500000,-0.516562528,0.380133054,-0.645173897,0.003148395,-0.065589167,-0.208284876,0.002639352,0.926638931,0.375890525,0.006295987
0.235000000,-1.148974073,0.473916773,-0.912861832,0.003267572,-0.038248316,-0.193077418,0.002648431,0.926689854,0.375764518,0.006318867
0.237500000,-0.564654344,0.450770777,-0.644710116,0.003666098,-0.011348429,-0.199517904,0.002643037,0.926740739,0.375639238,0.006307119
0.240000000,0.829547441,0.327343340,-0.019085640,0.003541603,0.002322083,-0.178343729,0.002627545,0.926786001,0.375528268,0.006270959
0.242500000,2.213273264,0.142024910,0.605861901,0.003705171,-0.003778429,-0.193563937,0.002609855,0.926828895,0.375423203,0.006229479
0.245000000,2.771270031,-0.042575550,0.874430552,0.003403369,-0.023367684,-0.184312696,0.002598148,0.926873672,0.375313169,0.006202487
0.247500000,2.095632539,-0.166522856,0.608634438,0.003470078,-0.043850614,-0.202549017,0.002596680,0.926916755,0.375206804,0.006200012
0.250000000,0.597640019,-0.197332729,-0.014149719,0.003531259,-0.052535414,-0.211100386,0.002601915,0.926968631,0.375078357,0.006214046
0.252500000,-0.897965065,-0.122187021,-0.636588722,0.003773966,-0.043151339,-0.219577458,0.002606621,0.927019783,0.374951670,0.006226771
0.255000000,-1.571096151,0.029717366,-0.902503345,0.004256574,-0.021947161,-0.237370286,0.002603347,0.927079823,0.374803318,0.006220749
0.257500000,-1.010330435,0.216818810,-0.633631516,0.004348025,-0.001667511,-0.227502985,0.002588825,0.927138187,0.374659571,0.006187652
0.260000000,0.377899877,0.387232340,-0.007853259,0.004617792,0.005132579,-0.241775479,0.002567223,0.927198231,0.374511921,0.006137668
0.262500000,1.772935510,0.495166014,0.616757336,0.004197567,-0.007815945,-0.219414479,0.002546826,0.927255224,0.374371699,0.006090500
0.265000000,2.356772092,0.520009406,0.884859810,0.004015824,-0.034038740,-0.224412247,0.002535660,0.927305620,0.374247339,0.006065281
0.267500000,1.722009933,0.453685143,0.619105918,0.003567823,-0.060659215,-0.207433986,0.002537835,0.927354630,0.374125753,0.006072149
0.270000000,0.276429629,0.319798464,-0.003983861,0.003478946,-0.074815833,-0.205946054,0.002549659,0.927394694,0.374025865,0.006101893
0.272500000,-1.155253900,0.151862810,-0.627314199,0.003664732,-0.070010376,-0.209489313,0.002563323,0.927438205,0.373917305,0.006136312
0.275000000,-1.754826557,-0.003050042,-0.894722059,0.003875151,-0.052369587,-0.205820657,0.002571088,0.927477270,0.373820012,0.006156401
0.277500000,-1.113382068,-0.096953356,-0.628189022,0.004409943,-0.034465291,-0.228511075,0.002568936,0.927523007,0.373706587,0.006152972
