time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1769645286.626323,-10.216402,-0.017934,0.646820,-0.009316,0.002443,-0.006261,-10.028693,-0.123147,0.444165,0.015119,-0.008552,-0.000611,-9.986848,0.205643,0.628886,0.000764,0.006261,-0.009468,-9.758488,-0.019130,0.380201,0.008552,0.007636,-0.006109
1769645286.626323,-9.832017,0.258250,0.010163,-0.001222,-0.007330,-0.004123,-9.609635,0.202056,0.236729,0.007330,-0.012828,-0.002138,-9.656264,0.453730,0.074127,-0.009621,0.002596,-0.006720,-9.463174,0.302487,0.270206,0.016493,0.004887,-0.007941
1769645286.626323,-10.043041,0.305476,0.500956,-0.005192,-0.004429,-0.003818,-9.838593,0.190698,0.478240,0.005498,-0.008399,-0.001680,-9.748325,0.548183,0.466882,-0.006414,0.005192,-0.006872,-9.573170,0.267814,0.478838,0.008705,0.005192,-0.009163
1769645286.626323,-10.284551,0.285151,1.062291,-0.011148,-0.004429,0.001069,-10.072930,0.219990,0.624103,0.005498,-0.008247,0.008858,-10.071735,0.484816,1.089192,-0.010079,0.009163,-0.000305,-9.897178,0.303085,0.606169,0.004734,0.010996,-0.000611
1769645286.626323,-10.284551,0.285151,1.062291,-0.011148,-0.004276,0.001069,-9.760879,-0.038259,0.257054,-0.001527,-0.015119,0.009468,-9.772835,0.199665,0.398135,-0.016493,0.001374,0.003360,-9.583930,0.032281,0.315041,-0.001833,0.010996,0.001222
1769645286.626323,-9.648493,-0.359278,-0.033477,-0.015272,-0.009468,0.000611,-9.454207,-0.319225,0.203252,-0.004276,-0.015882,0.005345,-9.585126,-0.147059,-0.129125,-0.016493,-0.001833,-0.003054,-9.393231,-0.181731,0.087877,0.001680,0.005498,-0.003054
1769645286.626323,-9.647895,-0.157819,-0.084888,-0.013439,-0.014355,-0.007636,-9.479315,-0.258250,-0.027499,-0.004276,-0.012828,-0.003054,-9.458392,0.032281,-0.119560,-0.014050,-0.001527,-0.010232,-9.251553,-0.166188,-0.108800,0.005040,0.003665,-0.010232
1769645286.626323,-9.869678,0.109397,0.301291,-0.012523,-0.007483,-0.006414,-9.665829,0.043042,0.092061,0.001833,-0.000458,-0.000611,-9.701696,0.341344,0.379005,-0.014050,0.015272,-0.004581,-9.494858,0.125538,0.107604,0.001833,0.018173,-0.009468
1769645286.627326,-9.630558,0.230751,-0.078910,-0.011606,0.002596,-0.001374,-9.432089,0.105213,0.054400,0.000458,-0.008094,0.005345,-9.341821,0.429220,-0.052606,-0.014508,0.008858,-0.000458,-9.192968,0.199665,0.072932,-0.000305,0.012370,-0.005498
1769645286.627326,-9.728000,-0.143472,0.109995,-0.016799,-0.003818,0.011454,-9.537301,-0.201459,0.190698,-0.002596,-0.008247,0.013897,-9.539692,0.049020,0.050215,-0.014508,0.007789,0.006567,-9.336440,-0.102822,0.104017,0.001222,0.009468,0.005498
1769645286.627326,-9.772835,-0.419656,0.086083,-0.013592,-0.007483,0.007941,-9.576756,-0.402917,0.080105,-0.003360,-0.005498,0.011912,-9.670013,-0.225371,0.060976,-0.016952,0.008247,0.005956,-9.450023,-0.316834,0.016738,0.005498,0.009468,0.003207
1769645286.627326,-9.948587,-0.306074,0.308465,-0.009621,-0.004581,-0.000305,-9.736967,-0.347920,0.184122,0.003665,-0.002443,0.003054,-9.790769,-0.133907,0.309063,-0.010537,0.012981,-0.003054,-9.585126,-0.252272,0.173362,0.005192,0.010690,-0.003665
1769645286.627326,-9.898373,-0.198470,0.271401,-0.009010,0.000305,-0.002291,-9.676588,-0.246891,0.278575,0.003360,-0.008094,0.002902,-9.699903,0.025108,0.195481,-0.010537,0.007941,-0.004887,-9.495455,-0.152439,0.166188,0.009621,0.007483,-0.009010
1769645286.627326,-9.849353,-0.102822,-0.023912,-0.007941,-0.007178,0.000764,-9.668818,-0.167384,0.037064,0.005040,-0.010385,0.004429,-9.666426,0.102822,-0.013152,-0.008399,0.004734,-0.001527,-9.454804,-0.083692,-0.027499,0.006414,0.007483,-0.005345
